iter	Passed	Remaining
465	745	854
466	746	852
467	748	850
468	749	848
469	750	845
470	751	843
471	752	841
472	753	839
473	754	837
474	755	835
475	756	832
476	757	830
477	758	828
478	760	827
479	762	825
480	763	823
481	764	821
482	765	819
483	766	817
484	767	815
485	768	813
486	769	810
487	770	808
488	772	806
489	773	804
490	775	803
491	776	801
492	777	799
493	778	797
494	779	795
495	780	793
496	782	791
497	783	789
498	784	787
499	785	785
500	786	783
501	787	781
502	788	779
503	791	778
504	792	776
505	793	774
506	794	772
507	795	770
508	796	768
509	797	766
510	798	764
511	799	762
512	800	760
513	801	758
514	803	756
515	805	755
516	806	753
517	811	755
518	814	754
519	815	752
520	816	751
521	822	752
522	823	751
523	825	749
524	827	749
525	829	747
526	830	745
527	831	743
528	832	741
529	833	739
530	838	740
531	840	739
532	841	737
533	842	735
534	843	733
535	846	733
536	848	731
537	852	732
538	854	730
539	855	728
540	856	726
541	857	724
542	859	723
543	860	721
544	865	722
545	868	722
546	869	720
547	870	718
548	871	716
549	872	714
550	874	712
551	875	710
552	876	708
553	877	706
554	878	704
555	880	703
556	882	701
557	883	699
558	884	697
559	885	695
560	886	693
561	889	693
562	890	691
563	892	689
564	893	687
565	894	685
566	896	684
567	898	683
568	899	681
569	900	679
570	901	677
571	904	677
572	906	675
573	907	673
574	915	676
575	917	675
576	918	673
577	919	671
578	922	670
579	926	670
580	930	671
581	931	669
582	932	667
583	934	665
584	935	663
585	936	661
586	937	659
587	938	657
588	941	657
589	942	655
590	944	653
591	945	651
592	946	649
593	947	647
594	948	645
595	949	643
596	950	641
597	951	639
598	953	638
599	954	636
600	956	634
601	957	632
602	958	630
603	959	628
604	960	626
605	961	624
606	962	623
607	963	621
608	964	619
609	965	617
610	966	615
611	968	613
612	970	612
613	971	610
614	972	609
615	974	607
616	975	605
617	976	603
618	977	601
619	978	599
620	979	597
621	980	596
622	982	594
623	983	592
624	984	590
625	985	589
626	986	587
627	988	585
628	989	583
629	990	581
630	991	579
631	992	577
632	993	576
633	995	574
634	996	572
635	998	571
636	999	569
637	1001	568
638	1002	566
639	1003	564
640	1004	562
641	1005	560
642	1006	559
643	1008	557
644	1009	555
645	1010	553
646	1011	551
647	1013	550
648	1015	549
649	1016	547
650	1017	545
651	1018	543
652	1020	542
653	1021	540
654	1022	538
655	1023	536
656	1024	535
657	1025	533
658	1027	531
659	1028	529
660	1030	528
661	1031	526
662	1032	524
663	1033	522
664	1034	521
665	1036	519
666	1037	517
667	1038	516
668	1039	514
669	1040	512
670	1045	512
671	1046	510
672	1049	510
673	1051	508
674	1052	506
675	1053	504
676	1054	503
677	1056	501
678	1061	501
679	1062	500
680	1063	498
681	1064	496
682	1065	494
683	1066	492
684	1067	491
685	1068	489
686	1070	487
687	1071	485
688	1072	484
689	1074	482
690	1075	481
691	1077	479
692	1078	477
693	1079	475
694	1080	474
695	1081	472
696	1082	470
697	1082	468
698	1084	466
699	1085	465
700	1125	480
701	1130	479
702	1133	478
703	1139	479
704	1141	477
705	1143	476
706	1145	474
707	1147	473
708	1148	471
709	1152	470
710	1154	469
711	1156	467
712	1158	466
713	1159	464
714	1161	462
715	1162	461
716	1163	459
717	1165	457
718	1167	456
719	1170	455
720	1172	453
721	1173	451
722	1182	452
723	1183	451
724	1184	449
725	1186	447
726	1187	445
727	1188	444
728	1190	442
729	1192	441
730	1194	439
731	1195	437
732	1197	436
733	1198	434
734	1199	432
735	1200	430
736	1202	429
737	1204	427
738	1206	426
739	1208	424
740	1210	423
741	1211	421
742	1213	419
743	1214	417
744	1215	416
745	1216	414
746	1218	412
747	1219	410
748	1220	408
749	1221	407
750	1222	405
751	1223	403
752	1224	401
753	1225	399
754	1226	398
755	1227	396
756	1228	394
757	1229	392
758	1230	390
759	1232	389
760	1233	387
761	1234	385
762	1235	383
763	1236	382
764	1238	380
765	1239	378
766	1240	376
767	1241	375
768	1242	373
769	1243	371
770	1244	369
771	1246	368
772	1247	366
773	1248	364
774	1249	362
775	1250	360
776	1251	359
777	1254	357
778	1255	356
779	1256	354
780	1258	352
781	1259	351
782	1263	350
783	1266	348
784	1268	347
785	1270	345
786	1271	344
787	1272	342
788	1273	340
789	1275	339
790	1276	337
791	1278	335
792	1279	334
793	1280	332
794	1282	330
795	1284	329
796	1285	327
797	1287	325
798	1288	324
799	1289	322
800	1290	320
801	1291	318
802	1292	317
803	1295	315
804	1296	314
805	1300	313
806	1302	311
807	1303	309
808	1305	308
809	1306	306
810	1307	304
811	1308	303
812	1309	301
813	1311	299
814	1314	298
815	1315	296
816	1317	295
817	1318	293
818	1319	291
819	1321	289
820	1322	288
821	1323	286
822	1324	284
823	1325	283
824	1327	281
825	1330	280
826	1332	278
827	1334	277
828	1335	275
829	1336	273
830	1337	271
831	1338	270
832	1339	268
833	1340	266
834	1344	265
835	1346	264
836	1347	262
837	1348	260
838	1350	259
839	1351	257
840	1353	255
841	1354	254
842	1356	252
843	1360	251
844	1362	249
845	1363	248
846	1364	246
847	1365	244
848	1366	243
849	1367	241
850	1369	239
851	1370	238
852	1371	236
853	1373	234
854	1375	233
855	1376	231
856	1377	229
857	1378	228
858	1379	226
859	1380	224
860	1381	223
861	1382	221
862	1384	219
863	1385	218
864	1386	216
865	1389	214
866	1390	213
867	1391	211
868	1392	209
869	1393	208
870	1394	206
871	1396	204
872	1397	203
873	1398	201
874	1399	199
875	1400	198
876	1401	196
877	1403	195
878	1404	193
879	1405	191
880	1406	190
881	1407	188
882	1408	186
883	1410	185
884	1411	183
885	1412	181
886	1413	180
887	1414	178
888	1417	176
889	1418	175
890	1419	173
891	1420	172
892	1421	170
893	1422	168
894	1423	167
895	1425	165
896	1426	163
897	1427	162
898	1428	160
899	1429	158
900	1432	157
901	1433	155
902	1434	154
903	1436	152
904	1437	150
905	1437	149
906	1439	147
907	1440	145
908	1441	144
909	1442	142
910	1443	141
911	1444	139
912	1446	137
913	1449	136
914	1451	134
915	1452	133
916	1454	131
917	1455	129
918	1456	128
919	1457	126
920	1461	125
921	1463	123
922	1464	122
923	1465	120
924	1467	118
925	1468	117
926	1469	115
927	1470	114
928	1471	112
929	1472	110
930	1474	109
931	1477	107
932	1479	106
933	1481	104
934	1482	103
935	1483	101
936	1484	99
937	1486	98
938	1488	96
939	1489	95
940	1492	93
941	1494	92
942	1495	90
943	1496	88
944	1498	87
945	1500	85
946	1501	84
947	1502	82
948	1503	80
949	1505	79
950	1507	77
951	1508	76
952	1510	74
953	1511	72
954	1512	71
955	1513	69
956	1514	68
957	1515	66
958	1516	64
959	1517	63
960	1518	61
961	1520	60
962	1522	58
963	1523	56
964	1524	55
965	1525	53
966	1526	52
967	1526	50
968	1527	48
969	1528	47
970	1529	45
971	1530	44
972	1531	42
973	1532	40
974	1534	39
975	1536	37
976	1537	36
977	1538	34
978	1539	33
979	1540	31
980	1541	29
981	1542	28
982	1543	26
983	1543	25
984	1545	23
985	1546	21
986	1547	20
987	1550	18
988	1551	17
989	1552	15
990	1553	14
991	1554	12
992	1554	10
993	1555	9
994	1556	7
995	1557	6
996	1558	4
997	1559	3
998	1561	1
999	1562	0
